avg_gap,paste_count,key_count,typing_speed,label
110.0,0,120,38,Human
120.0,0,135,42,Human
98.0,0,140,45,Human
105.0,0,150,47,Human
115.1,0,160,44,Human
125.0,0,170,48,Human
130.1,0,180,46,Human
118.0,0,145,41,Human
122.0,0,155,43,Human
135.0,0,165,49,Human
140.1,0,175,50,Human
108.0,0,130,40,Human
112.0,0,138,39,Human
116.1,0,142,42,Human
124.0,0,152,44,Human
128.0,0,162,46,Human
132.0,0,172,48,Human
138.1,0,182,47,Human
142.0,0,192,49,Human
148.1,0,202,50,Human
150.0,0,210,52,Human
160.0,0,220,54,Human
155.1,0,205,53,Human
145.0,0,198,51,Human
135.0,0,188,49,Human
125.0,0,178,46,Human
115.0,0,168,44,Human
105.0,0,158,42,Human
95.0,0,148,40,Human
100.1,0,138,41,Human
520.3,3,320,160,AI
540.4,3,340,170,AI
560.2,3,360,180,AI
580.5,3,380,190,AI
600.3,4,400,200,AI
620.4,4,420,210,AI
